Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
inoguera,CAIDO,yibarra,INC000087030809,Los Rios - O&M Total
lveintimilla,CAIDO,wllumitaxi,INC000087030668,Redes Inalámbricas - MW Andina
lveintimilla,CAIDO,wllumitaxi,INC000087029290,Bolivar - O&M Total
lveintimilla,CAIDO,atrujillo,INC000087028529,Redes Inalámbricas - Móvil Pacífico
inoguera,CAIDO,yibarra,INC000087027770,Energía y Climatización - Región Pacífico
inoguera,CAIDA,inoguera,INC000087023220,Redes Fibra Óptica - Red Troncal Pacífico
gayungan,INTERMITENTE,gayungan,INC000087017141,Redes Inalámbricas - Móvil Andina
alucin,RUTAS  1 ALARMADAS,lveintimilla,INC000087017139,Redes IP/MPLS - Región Pacífico
cjimenez,CAIDO,wllumitaxi,INC000087017120,Redes Inalámbricas - Móvil Pacífico
mdpacheco,CAIDO,svnaranjo,INC000087017119,Energía y Climatización - Región Pacífico
alcarvajal,caido,rtaco,INC000087017117,Imbabura - O&M Total
alucin,RUTA 1 ALARMADA,mcnaranjo,INC000087017115,Redes Inalámbricas - Región Austro
alcarvajal,caido,rtaco,INC000087015296,Energía y Climatización - Región Pacífico
cjimenez,voltaje f1f2,wllumitaxi,INC000087014079,Los Rios - O&M Total
alcarvajal,alarmas de energía,atrujillo,INC000087013317,Los Rios - O&M Total
mdpacheco,CAIDO,rtaco,INC000087012557,Huawei
cjimenez,CAIDO,cjimenez,INC000087012556,Redes Inalámbricas - Móvil Pacífico
alcarvajal,CAIDO,inoguera,INC000087012554,Manabi - O&M Total
alucin,FALLA DE AC,wllumitaxi,INC000087012552,Bolivar - O&M Total
gayungan,CAIDO,gayungan,INC000087012547,Redes Inalámbricas - Móvil Andina
cjimenez,CAIDO,wllumitaxi,INC000087008748,Redes Inalámbricas - Móvil Pacífico
alcarvajal,caido,rtaco,INC000087007988,Los Rios - O&M Total
mdpacheco,CAIDO,gguayanlema,INC000087007985,Telxius
alcarvajal,alarmas de energia,atrujillo,INC000087007984,Los Rios - O&M Total
cjimenez,voltaje f1f2,cjimenez,INC000087007980,Los Rios - O&M Total
cjimenez,CAIDO,aortiz,INC000087004184,Redes Inalámbricas - Móvil Pacífico
mdpacheco,CAIDO,inoguera,INC000087004181,Manabi - O&M Total
alcarvajal,ALARMAS DE ENERGIA,mgranda,INC000087003417,Energía y Climatización - Región Pacífico
saushay,CAIDO,yibarra,INC000087003415,Azuay - O&M
gayungan,FALLA DE AC,aortiz,INC000087003019,Redes Inalámbricas - Móvil Pacífico
alucin,CAÍDO,alucin,INC000086999613,LOJA - O&M Total
alcarvajal,caído,alcarvajal,INC000086991982,Morona Santiago - O&M
alucin,CAÍDO,alucin,INC000086990460,LOJA - O&M Total
alcarvajal,caido,mgranda,INC000086990453,LOJA - O&M Total
alucin,INTERMITENTE,mcnaranjo,INC000086989688,Redes Inalámbricas - MW Andina
alucin,INTERMITENTE,mgranda,INC000086989685,Redes Inalámbricas - Troncalizado Andina
alucin,FALLA DE AC,alucin,INC000086989646,LOJA - O&M Total
alucin,FALLA DE AC,alucin,INC000086989638,Redes Inalámbricas - Troncalizado Pacífico
egcadena,CAIDO,svnaranjo,INC000086988071,Redes Fibra Óptica - Anillos Metropolitanos Pacifico
egcadena,CAIDO,mgranda,INC000086986538,Energía y Climatización - Región Pacífico
afaguirre,caido,cjimenez,INC000086985772,Redes Inalámbricas - Móvil Pacífico
egcadena,CAIDO,saushay,INC000086985762,Energía y Climatización - Región Pacífico
svnaranjo,CAIDO,alcarvajal,INC000086985760,Cotopaxi - O&M Total
yacunia,Falla AC.,yacunia,INC000086985758,Redes Inalámbricas - Móvil Pacífico
alcarvajal,alarmas de energia,alcarvajal,INC000086985755,Energía y Climatización - Región Pacífico
yacunia,CAIDO,gayungan,INC000086985748,Redes IP/MPLS - Región Andina
lasifuela,CAIDO,mgranda,INC000086982633,Pastaza - O&M Total
yacunia,Realización de pruebas de Drive Test con celdas 2 y 3 bloqueadas.,gayungan,INC000086980323,Redes Inalámbricas - Optimización Andina
svnaranjo,FALLA DE AC,svnaranjo,INC000086978775,Cotopaxi - O&M Total
atrujillo,CAIDO,lasifuela,INC000086977520,Esmeraldas - O&M Total
yacunia,CAIDO,jdgranda,INC000086976475,Redes Inalámbricas - Móvil Andina
yacunia,Falla AC.,gayungan,INC000086975705,Redes Inalámbricas - Móvil Pacífico
afaguirre,caido,afaguirre,INC000086975702,Redes Inalámbricas - Región Chimborazo
atrujillo,CAIDO,alcarvajal,INC000086975684,Azuay - O&M
lasifuela,CAIDO,mdpacheco,INC000086974138,Morona Santiago - O&M
afaguirre,caido,afaguirre,INC000086972252,Redes Inalámbricas - Móvil Pacífico
afaguirre,caido,afaguirre,INC000086971077,Redes Inalámbricas - Móvil Pacífico
afaguirre,caido,cjimenez,INC000086971052,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,mdpacheco,INC000086971050,Huawei
yacunia,Falla AC.,gayungan,INC000086970242,Redes Inalámbricas - Móvil Pacífico
afaguirre,CAIDO,cjimenez,INC000086967937,Redes Inalámbricas - Móvil Pacífico
yacunia,CAIDO,yacunia,INC000086967936,Redes Inalámbricas - Móvil Andina
svnaranjo,VOLTAJE F1/F2,svnaranjo,INC000086967935,Unidad de Soporte de Servicios Masivos
svnaranjo,MODULO RTF,svnaranjo,INC000086967164,Esmeraldas - O&M Total
yacunia,Falla AC.,yacunia,INC000086967161,Esmeraldas - O&M Total
yacunia,Falla AC.,yacunia,INC000086967151,Redes Inalámbricas - Móvil Andina
atrujillo,CAIDO,atrujillo,INC000086966382,Redes Inalámbricas - Troncalizado Andina
egcadena,CAIDO,egcadena,INC000086966376,Bolivar - O&M Total
jdgranda,CAIDO,wllumitaxi,INC000086966375,Redes Inalámbricas - Región Chimborazo
lasifuela,CAIDO,rtaco,INC000086966372,Los Rios - O&M Total
afaguirre,caido,wllumitaxi,INC000086966369,Redes Inalámbricas - Móvil Pacífico
jdgranda,ALARMA LOW IMPUT VOLTAJE,jdgranda,INC000086966303,Galápagos - O&M Total
svnaranjo,MODULO RTF,svnaranjo,INC000086965535,Esmeraldas - O&M Total
yacunia,CAIDO,yacunia,INC000086964770,Esmeraldas - O&M Total
svnaranjo,FALLA DE AC,svnaranjo,INC000086961685,Energía y Climatización - Región Andina
fomorocho,CAIDO,pcriollo,INC000086961681,Energía y Climatización - Región Pacífico
egcadena,CAIDO,pcriollo,INC000086961680,Energía y Climatización - Región Pacífico
afaguirre,caido,afaguirre,INC000086961671,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,mdpacheco,INC000086961653,Redes Fibra Óptica - Red Troncal Pacífico
afaguirre,caido,cjimenez,INC000086961618,Redes Inalámbricas - Móvil Pacífico
egcadena,CAIDO,pcriollo,INC000086961612,Manabi - O&M Total
afaguirre,caido,afaguirre,INC000086960821,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086960560,Chimborazo - O&M Total
yacunia,Generador en Servicio,gayungan,INC000086959288,Redes Inalámbricas - Móvil Andina
afaguirre,falla de ac,afaguirre,INC000086957751,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,pcriollo,INC000086956939,Manabi - O&M Total
afaguirre,caido,afaguirre,INC000086956927,Redes Inalámbricas - Móvil Pacífico
jdgranda,ALARMA AC,alucin,INC000086956924,Redes Inalámbricas - Región Chimborazo
afaguirre,FALLA DE AC,afaguirre,INC000086956915,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086956908,Manabi - O&M Total
jdgranda,CAIDO,jdgranda,INC000086956892,Redes Inalámbricas - Móvil Pacífico
svnaranjo,CAIDO,svnaranjo,INC000086956000,El Oro - O&M Total
basanguano,CAIDO,jdgranda,INC000086952290,Redes Inalámbricas - Móvil Pacífico
basanguano,CAIDO,jdgranda,INC000086952282,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,lasifuela,INC000086952278,El Oro - O&M Total
wllumitaxi,CAIDO,afaguirre,INC000086952276,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,jdgranda,INC000086952273,Redes Inalámbricas - Móvil Andina
basanguano,CAIDO,yacunia,INC000086952270,Esmeraldas - O&M Total
mcnaranjo,FALLA AC,egcadena,INC000086952269,El Oro - O&M Total
basanguano,CAIDO,yacunia,INC000086949989,Redes Inalámbricas - Móvil Andina
gguayanlema,CAIDO,lasifuela,INC000086948471,Manabi - O&M Total
wllumitaxi,CAIDO,afaguirre,INC000086947652,Redes Inalámbricas - Móvil Pacífico
basanguano,FALLA AC,yacunia,INC000086942341,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,FALLA AC,svnaranjo,INC000086942339,Energía y Climatización - Región Pacífico
mcnaranjo,FALLA AC,mcnaranjo,INC000086942336,Santa Elena - O&M Total
mcnaranjo,CAÍDO,egcadena,INC000086942334,Energía y Climatización - Región Pacífico
mcnaranjo,CAÍDO,fomorocho,INC000086941574,Manabi - O&M Total
basanguano,CAIDO,mgranda,INC000086937024,Redes Inalámbricas - Móvil Andina
